couch,gantry,,,quad_4_couch,quad_4_gantry,quad_3_couch,quad_3_gantry,quad_2_couch,quad_2_gantry,quad_1_couch,quad_1_gantry
91.37667304,-43.11444653,,,91.37667304,-43.11444653,-8.432122371,-179.5497186,-91.7208413,34.78424015,5.105162524,181.575985
88.62332696,-43.11444653,,,88.62332696,-43.11444653,-12.56214149,-114.2589118,-50.4206501,48.29268293,8.087954111,131.1444653
78.98661568,-44.46529081,,,78.98661568,-44.46529081,-17.83938815,-97.14821764,-34.13001912,60.90056285,12.90630975,106.3789869
52.3709369,-48.51782364,,,52.3709369,-48.51782364,-23.80497132,-84.54033771,-24.03441683,78.46153846,18.18355641,89.26829268
31.95028681,-72.83302064,,,31.95028681,-72.83302064,-31.14722753,-72.38273921,-17.83938815,94.67166979,24.8374761,78.01125704
24.60803059,-84.09005629,,,24.60803059,-84.09005629,-47.208413,-53.92120075,-11.87380497,148.2551595,32.63862333,66.75422139
18.87189293,-103.0018762,,,18.87189293,-103.0018762,-63.72848948,-48.96810507,-8.661567878,180.6754221,47.09369025,52.79549719
12.21797323,-150.7317073,,,12.21797323,-150.7317073,-70.38240918,-46.26641651,,,60.86042065,49.19324578
7.399617591,-179.0994371,,,7.399617591,-179.0994371,-78.41300191,-44.46529081,,,83.1166348,41.53846154
-8.432122371,-179.5497186,,,,,-87.59082218,-43.56472795,,,91.14722753,40.18761726
-12.56214149,-114.2589118,,,,,-91.95028681,-42.6641651,,,,
-17.83938815,-97.14821764,,,,,,,,,,
-23.80497132,-84.54033771,,,,,,,,,,
-31.14722753,-72.38273921,,,,,,,,,,
-47.208413,-53.92120075,,,,,,,,,,
-63.72848948,-48.96810507,,,,,,,,,,
-70.38240918,-46.26641651,,,,,,,,,,
-78.41300191,-44.46529081,,,,,,,,,,
-87.59082218,-43.56472795,,,,,,,,,,
-91.95028681,-42.6641651,,,,,,,,,,
-91.7208413,34.78424015,,,,,,,,,,
-50.4206501,48.29268293,,,,,,,,,,
-34.13001912,60.90056285,,,,,,,,,,
-24.03441683,78.46153846,,,,,,,,,,
-17.83938815,94.67166979,,,,,,,,,,
-11.87380497,148.2551595,,,,,,,,,,
-8.661567878,180.6754221,,,,,,,,,,
5.105162524,181.575985,,,,,,,,,,
8.087954111,131.1444653,,,,,,,,,,
12.90630975,106.3789869,,,,,,,,,,
18.18355641,89.26829268,,,,,,,,,,
24.8374761,78.01125704,,,,,,,,,,
32.63862333,66.75422139,,,,,,,,,,
47.09369025,52.79549719,,,,,,,,,,
60.86042065,49.19324578,,,,,,,,,,
83.1166348,41.53846154,,,,,,,,,,
91.14722753,40.18761726,,,,,,,,,,
